FREQ,TEMP,DURATION,Lonely,Sample,ZFREQ,ZTEMP,ZDURATION,COMPOSITE
7,7,6,1.45,1,2.67295570775355,2.04131526128229,2.03784882090061,2.25070659664549
5,5,4,1.9,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,5,5,1.35,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
3,6,4,2.35,1,-1.95053524619855,1.06837559185855,.123883914448873,-.252758579963709
3,5,5,1.6,1,-1.95053524619855,.0954359224347981,1.08086636767474,-.258077652029668
6,6,4,1.8,1,1.51708296926552,1.06837559185855,.123883914448873,.903114158524315
5,7,4,2.95,1,.361210230777501,2.04131526128229,.123883914448873,.842136468836223
5,5,5,1.95,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
5,4,4,2.05,1,.361210230777501,-.87750374698895,.123883914448873,-.130803200587525
6,4,3,2.35,1,1.51708296926552,-.87750374698895,-.833098538776997,-.0645064388334743
4,6,4,1.7,1,-.794662507710522,1.06837559185855,.123883914448873,.132532332865632
4,5,5,2.5,1,-.794662507710522,.0954359224347981,1.08086636767474,.127213260799673
5,6,5,2.55,1,.361210230777501,1.06837559185855,1.08086636767474,.836817396770264
5,6,4,1.7,1,.361210230777501,1.06837559185855,.123883914448873,.517823245694974
4,5,5,1.65,1,-.794662507710522,.0954359224347981,1.08086636767474,.127213260799673
5,3,2,2.1,1,.361210230777501,-1.8504434164127,-1.79008099200287,-1.09310472587935
3,4,6,2.52631578947368,1,-1.95053524619855,-.87750374698895,2.03784882090061,-.263396724095627
5,6,5,2.5,1,.361210230777501,1.06837559185855,1.08086636767474,.836817396770264
5,5,5,1.2,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
3,5,5,1.65,1,-1.95053524619855,.0954359224347981,1.08086636767474,-.258077652029668
4,5,3,2.05,1,-.794662507710522,.0954359224347981,-.833098538776997,-.510775041350907
5,4,5,2.05,1,.361210230777501,-.87750374698895,1.08086636767474,.188190950487765
4,5,4,2.73684210526316,1,-.794662507710522,.0954359224347981,.123883914448873,-.191780890275617
4,5,2,3.3,1,-.794662507710522,.0954359224347981,-1.79008099200287,-.829769192426197
5,6,3,1.75,1,.361210230777501,1.06837559185855,-.833098538776997,.198829094619683
5,5,4,1.95,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,7,5,2.05,1,.361210230777501,2.04131526128229,1.08086636767474,1.16113061991151
6,6,4,1.45,1,1.51708296926552,1.06837559185855,.123883914448873,.903114158524315
5,5,3,1.7,1,.361210230777501,.0954359224347981,-.833098538776997,-.125484128521566
5,5,5,1.85,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
5,5,5,2.05,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
5,5,3,1.8,1,.361210230777501,.0954359224347981,-.833098538776997,-.125484128521566
5,5,3,2.65,1,.361210230777501,.0954359224347981,-.833098538776997,-.125484128521566
5,5,6,2.15,1,.361210230777501,.0954359224347981,2.03784882090061,.831498324704304
5,5,3,2.55,1,.361210230777501,.0954359224347981,-.833098538776997,-.125484128521566
5,5,4,1.55,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,6,5,2.9,1,.361210230777501,1.06837559185855,1.08086636767474,.836817396770264
5,5,5,2.5,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
5,6,4,1.6,1,.361210230777501,1.06837559185855,.123883914448873,.517823245694974
5,6,6,1.45,1,.361210230777501,1.06837559185855,2.03784882090061,1.15581154784555
4,5,4,1.6,1,-.794662507710522,.0954359224347981,.123883914448873,-.191780890275617
5,5,5,1.6,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
5,3,5,1.95,1,.361210230777501,-1.8504434164127,1.08086636767474,-.136122272653485
5,4,5,1.8,1,.361210230777501,-.87750374698895,1.08086636767474,.188190950487765
5,6,5,2.2,1,.361210230777501,1.06837559185855,1.08086636767474,.836817396770264
4,6,4,1.55,1,-.794662507710522,1.06837559185855,.123883914448873,.132532332865632
4,6,5,2.1,1,-.794662507710522,1.06837559185855,1.08086636767474,.451526483940923
6,4,3,3.3,1,1.51708296926552,-.87750374698895,-.833098538776997,-.0645064388334743
4,6,5,2.35,1,-.794662507710522,1.06837559185855,1.08086636767474,.451526483940923
5,5,6,1.65,1,.361210230777501,.0954359224347981,2.03784882090061,.831498324704304
6,4,4,2.3,1,1.51708296926552,-.87750374698895,.123883914448873,.254487712241816
4,6,4,2.35,1,-.794662507710522,1.06837559185855,.123883914448873,.132532332865632
5,5,3,1.4,1,.361210230777501,.0954359224347981,-.833098538776997,-.125484128521566
5,2,3,1.4,1,.361210230777501,-2.82338308583645,-.833098538776997,-1.09842379794531
5,5,3,2.35,1,.361210230777501,.0954359224347981,-.833098538776997,-.125484128521566
6,4,4,1.3,1,1.51708296926552,-.87750374698895,.123883914448873,.254487712241816
5,5,5,1.1,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
5,6,5,1.1,1,.361210230777501,1.06837559185855,1.08086636767474,.836817396770264
5,5,4,2.35,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,4,4,2.35,1,.361210230777501,-.87750374698895,.123883914448873,-.130803200587525
5,6,4,1.85,1,.361210230777501,1.06837559185855,.123883914448873,.517823245694974
