FREQ,TEMP,DURATION,Lonely,Sample,FREQR,TEMPR,ZFREQR,ZTEMPR,ZDURATION,COMPOSITE
4,3,4,3.5,5,5,4,.258086246210496,-1.04350058621007,-.0298716229303139,-.271761987643295
5,2,4,2.1,5,4,5,-.967184595947285,.394878639098213,-.0298716229303139,-.200725859926462
3,2,3,1.1,5,6,5,1.48335708836828,.394878639098213,-.912233407948972,.322000773172505
4,2,4,1.2,5,5,5,.258086246210496,.394878639098213,-.0298716229303139,.207697754126131
4,3,4,2.2,5,5,4,.258086246210496,-1.04350058621007,-.0298716229303139,-.271761987643295
4,4,4,3,5,5,3,.258086246210496,-2.48187981151835,-.0298716229303139,-.751221729412722
4,3,3,1.4,5,5,4,.258086246210496,-1.04350058621007,-.912233407948972,-.565882582649515
3,1,6,2.8,5,6,6,1.48335708836828,1.83325786440649,1.734851947107,1.68382229996059
4,3,4,3.2,5,5,4,.258086246210496,-1.04350058621007,-.0298716229303139,-.271761987643295
4,3,3,1.6,5,5,4,.258086246210496,-1.04350058621007,-.912233407948972,-.565882582649515
4,2,2,2.1,5,5,5,.258086246210496,.394878639098213,-1.79459519296763,-.380543435886308
4,2,3,1.1,5,5,5,.258086246210496,.394878639098213,-.912233407948972,-.0864228408800881
4,3,4,3.66666666666667,5,5,4,.258086246210496,-1.04350058621007,-.0298716229303139,-.271761987643295
4,3,3,1.2,5,5,4,.258086246210496,-1.04350058621007,-.912233407948972,-.565882582649515
4,2,4,2.2,5,5,5,.258086246210496,.394878639098213,-.0298716229303139,.207697754126131
8,2,4,3.2,5,1,5,-4.64299712242063,.394878639098213,-.0298716229303139,-1.42599670208424
4,1,4,1.2,5,5,6,.258086246210496,1.83325786440649,-.0298716229303139,.687157495895558
4,2,2,2.6,5,5,5,.258086246210496,.394878639098213,-1.79459519296763,-.380543435886308
3,2,7,3.2,5,6,5,1.48335708836828,.394878639098213,2.61721373212566,1.49848315319738
5,2,4,2.5,5,4,5,-.967184595947285,.394878639098213,-.0298716229303139,-.200725859926462
5,2,5,3.1,5,4,5,-.967184595947285,.394878639098213,.852490162088345,.0933947350797575
4,3,4,1.6,5,5,4,.258086246210496,-1.04350058621007,-.0298716229303139,-.271761987643295
4,3,4,1.9,5,5,4,.258086246210496,-1.04350058621007,-.0298716229303139,-.271761987643295
4,1,6,1.3,5,5,6,.258086246210496,1.83325786440649,1.734851947107,1.275398685908
4,2,5,2.5,5,5,5,.258086246210496,.394878639098213,.852490162088345,.501818349132351
4,2,3,1.9,5,5,5,.258086246210496,.394878639098213,-.912233407948972,-.0864228408800881
4,2,4,1.5,5,5,5,.258086246210496,.394878639098213,-.0298716229303139,.207697754126131
6,4,2,2.5,5,3,3,-2.19245543810506,-2.48187981151835,-1.79459519296763,-2.15631014753035
4,3,3,1.7,5,5,4,.258086246210496,-1.04350058621007,-.912233407948972,-.565882582649515
4,2,4,2.5,5,5,5,.258086246210496,.394878639098213,-.0298716229303139,.207697754126131
4,2,4,1.9,5,5,5,.258086246210496,.394878639098213,-.0298716229303139,.207697754126131
5,2,5,3.4,5,4,5,-.967184595947285,.394878639098213,.852490162088345,.0933947350797575
5,2,3,1,5,4,5,-.967184595947285,.394878639098213,-.912233407948972,-.494846454932681
4,2,5,2.2,5,5,5,.258086246210496,.394878639098213,.852490162088345,.501818349132351
4,2,3,3,5,5,5,.258086246210496,.394878639098213,-.912233407948972,-.0864228408800881
4,3,4,2.2,5,5,4,.258086246210496,-1.04350058621007,-.0298716229303139,-.271761987643295
4,3,5,2.3,5,5,4,.258086246210496,-1.04350058621007,.852490162088345,.022358607362924
4,4,2,1,5,5,3,.258086246210496,-2.48187981151835,-1.79459519296763,-1.33946291942516
4,3,4,2.4,5,5,4,.258086246210496,-1.04350058621007,-.0298716229303139,-.271761987643295
4,3,3,2.6,5,5,4,.258086246210496,-1.04350058621007,-.912233407948972,-.565882582649515
5,2,3,2.2,5,4,5,-.967184595947285,.394878639098213,-.912233407948972,-.494846454932681
4,2,4,2.7,5,5,5,.258086246210496,.394878639098213,-.0298716229303139,.207697754126131
4,2,4,3.5,5,5,5,.258086246210496,.394878639098213,-.0298716229303139,.207697754126131
2,3,3,1.7,5,7,4,2.70862793052606,-1.04350058621007,-.912233407948972,.250964645455672
6,3,4,1.9,5,3,4,-2.19245543810506,-1.04350058621007,-.0298716229303139,-1.08860921574848
3,2,3,1.5,5,6,5,1.48335708836828,.394878639098213,-.912233407948972,.322000773172505
3,2,5,1.4,5,6,5,1.48335708836828,.394878639098213,.852490162088345,.910241963184944
4,3,4,2.1,5,5,4,.258086246210496,-1.04350058621007,-.0298716229303139,-.271761987643295
4,3,3,1.8,5,5,4,.258086246210496,-1.04350058621007,-.912233407948972,-.565882582649515
4,2,3,2.4,5,5,5,.258086246210496,.394878639098213,-.912233407948972,-.0864228408800881
4,2,4,2.2,5,5,5,.258086246210496,.394878639098213,-.0298716229303139,.207697754126131
4,2,5,2.3,5,5,5,.258086246210496,.394878639098213,.852490162088345,.501818349132351
5,2,2,3.1,5,4,5,-.967184595947285,.394878639098213,-1.79459519296763,-.788967049938901
4,3,3,1,5,5,4,.258086246210496,-1.04350058621007,-.912233407948972,-.565882582649515
5,3,4,2.3,5,4,4,-.967184595947285,-1.04350058621007,-.0298716229303139,-.680185601695889
4,2,7,1.7,5,5,5,.258086246210496,.394878639098213,2.61721373212566,1.09005953914479
5,3,6,1,5,4,4,-.967184595947285,-1.04350058621007,1.734851947107,-.0919444116834499
