"","V1","ori.ES.CIs","rep.ES.CIs"
"88","149","r(N=208) = .19 ± .14","r(N=318) = .02 ± .11"
"89","150","r(N=14) = .72 ± .33","r(N=19) = .21 ± .46"
"90","151","r(N=43) = .4 ± .26","r(N=126) = 0 ± .18"
"91","153","r(N=8) = .86 ± .38","r(N=8) = .12 ± .78"
"92","154","r(N=70) = .43 ± .2","r(N=16) = .11 ± .53"
"93","155","r(N=53) = .31 ± .25","r(N=72) = -.03 ± .24"
"94","158","r(N=40) = .37 ± .28","r(N=95) = .41 ± .17"
"95","161","r(N=48) = .48 ± .23","r(N=48) = .18 ± .29"
"96","165","r(N=56) = .28 ± .24","r(N=51) = -.18 ± .28"
"97","167","r(N=18) = .6 ± .35","r(N=22) = .25 ± .42"
