ParticipNumber,Time,Condition,PostDesire,PostPay,DoveDesire,DovePay,ColgateDesire,ColgatePay,InnocentDesire,InnocentPay,EnergizeDesire,EnergizePay,SonyCDDesire,SonyCDPay,WindexDesire,WindexPay,DettollDesire,DettollPay,SnickersDesire,SnickersPay,SurfDesire,SurfPay,CleanseDesire,CleansePay,ControlDesirability,Controlpay
 ,2,1,2,1.5,2,3,4,2,5,1.5,2,1,1,1,1,2,1,1.5,1,.1,3,3.5,2.2,2.4,2.2,.9
 ,2,1,4,2,2,3,6,2.5,4,2,1,1,1,1,1,1,1,1,7,.6,1,2,2.2,1.9,3.4,1.15
 ,2,1,4,1,0,0,6,1.5,6,1,2,2,0,0,0,0,2,1,0,0,3,2,2.2,.9,2.4,.75
 ,2,1,2,1.5,3,2,7,2.5,1,2,1,3,1,2,1,1.5,2,1.5,1,.6,3,3,3.2,2.1,1.2,1.775
 ,2,1,5,1,2,2,5,1.5,6,2,2,4,1,4,1,2,2,2,5,.7,1,2,2.2,1.9,3.8,2.425
 ,2,1,4,1.5,6,2,7,2.5,7,3.75,2,4,1,4,2,3,3,3,7,.8,5,2,4.6,2.5,4.2,2.575
 ,2,1,3,2,4,3,3,2,6,1.75,2,4,2,3,1,4,4,5,3,.5,3,5,3,3.8,3.2,2.375
 ,2,1,1,.4,2,.4,2,1.5,5,1,2,1,1,.5,1,1.2,3,1.3,6,.4,2,3,2,1.48,3,.575
 ,2,1,6,1,5,1,5,1.5,7,1,3,3,2,.5,1,0,3,1,5,.5,4,1,3.6,.9,4.6,1.25
 ,2,1,6,1,2,1,3,2,7,2.5,7,3,1,1.5,1,1,1,1,4,.5,5,1,2.4,1.2,5,1.5
 ,2,1,5,2.5,4,2,4,1.5,5,2,2,3.5,2,2,2,1.5,2,2,5,.5,4,2,3.2,1.8,3.8,2.125
 ,2,1,4,2,5,3,5,2,3,2,1,2,1,1,1,1,1,1,6,1,6,3,3.6,2,3,1.5
 ,2,1,2,1,4,3,3,3,2,1,1,0,1,0,1,0,1,0,1,0,6,2,3,1.6,1.4,.25
 ,2,1,2,1,3,2,3,1,6,2,6,3,1,.5,1,1,1,1,3,.7,2,2,2,1.4,3.6,1.3
 ,2,1,6,1.5,5,2,5,1.5,7,2,2,3,1,1,1,1,1,2,3,.5,4,4,3.2,2.1,3.8,1.5
 ,2,1,6,5,6,3,6,2,3,3,2,5,1,2,1,3,1,3,4,1,2,3,3.2,2.8,3.2,3.25
 ,2,1,3,2,2,3,6,4,5,2.4,1,2,1,.4,1,2,1,2,7,.5,2,2,2.4,2.6,3.4,1.225
 ,2,1,3,2,2,3,6,4,3,3,4,4,1,4,0,2,2,3,6,1,3,2,2.6,2.8,3.4,2.75
 ,2,1,5,1.5,4,1.5,7,2,6,2,6,4,1,.1,1,2,4,3,3,.7,4,4,4,2.5,4.2,1.575
 ,2,1,1,5,2,4,2,5,1,3,3,0,0,0,0,6,2,1,1,.5,2,2,1.6,3.6,1.2,1.375
 ,2,1,3,.5,5,1,5,1,5,2,2,.5,2,.2,2,.5,4,1.5,1,.2,5,2,4.2,1.2,2.6,.35
 ,2,1,6,1,5,1.5,4,2,4,2,4,3,6,5,2,4,2,4,6,1,5,4,3.6,3.1,5.2,2.5
 ,2,1,3,.075,2,.08,6,2,2,.5,4,2,3,3.5,3,4,2,3.5,6,.5,4,5,3.4,2.916,3.6,1.51875
 ,2,1,2,2,3,1.5,4,1.5,6,2,6,3,1,.5,1,2,3,2,2,.5,6,4,3.4,2.2,3.4,1.5
 ,2,1,6,3,5,3,6,6,6,4,4,10,2,5,2,5,3,5,4,2,3,10,3.8,5.8,4.4,5
 ,2,1,2,.5,3,2,4,1,5,2,5,2,3,.5,2,1,3,1,5,.5,5,2,3.4,1.4,4,.875
 ,2,1,6,2,5,3,5,3,6,2,1,5,2,.5,1,2,1,2,1,2,2,3,2.8,2.6,3.2,2.375
 ,2,1,5,1.5,3,1.2,5,1.3,5,1.8,5,3,2,1.5,2,1.2,3,1.7,3,.6,4,3.3,3.4,1.74,4,1.65
 ,2,1,5,2,6,3,6,2,5,2,4,3,2,1,1,2,3,3,1,.5,5,2,4.2,2.4,3.4,1.625
 ,2,1,3,1,2,3,4,3,5,2,1,0,1,0,1,0,2,4,1,0,1,0,2,2,2.2,.25
 ,2,1,4,1,2,.1,2,.5,4,1.5,4,2,3,1,3,2,4,2,3,.8,3,1,2.8,1.12,3.6,1.2
 ,2,1,2,.5,2,2,4,2,5,2,2,4,1,.5,1,2,1,2,1,.5,3,3,2.2,2.2,2.2,1.375
 ,2,1,2,.5,2,1.6,5,2.4,3,2,2,3,1,.4,1,1.8,3,2,4,.7,1,2.7,2.4,2.1,2.4,1.15
 ,2,1,2,.5,4,2,4,1.5,5,1,3,2,1,1,1,3,2,3,1,.7,3,3,2.8,2.5,2.4,1.05
 ,2,1,4,1,2,1.5,1,2,7,2,2,2,1,.5,1,1.5,1,1.5,1,.5,2,2,1.4,1.7,3,1
 ,2,1,1,.4,7,2.8,4,1.2,6,2,5,.99,1,.6,1,.9,1,1.6,6,1,1,.8,2.8,1.46,3.8,.7475
 ,2,1,5,.7,3,1.3,7,2,3,2,2,2,1,.5,1,.5,2,1,6,1,7,2,4,1.36,3.4,1.05
16,1,2,6,2.25,4,1,5,1,6,1.5,6,1,2,.5,1,1,5,2,5,.65,5,1.5,4,1.3,5,1.1
20,1,2,6,1,1,1,3,2,4,2,6,2,6,10,1,8,2,10,2,.5,5,5,2.4,5.2,4.8,3.375
22,1,2,4,.5,5,1,4,1,7,1.2,2,1,1,.5,1,0,2,1.5,1,0,1,.5,2.6,.8,3,.5
30,1,2,2,.5,4,1.5,5,2,6,1.5,6,4,1,0,1,0,2,.5,1,.25,7,1.5,3.8,1.1,3.2,1.1875
24,1,2,1,.7,2,2,5,3,7,7,1,1,1,1.5,1,1.5,2,1.5,6,.7,4,2,2.8,2,3.2,.975
32,1,2,2,1,3,1,5,3,5,3.5,2,2,3,2,1,1,1,2,2,.5,1,2,2.2,1.8,2.8,1.375
28,1,2,6,.99,6,.99,2,1.99,4,1.99,1,0,1,0,2,.99,1,0,3,.7,3,2.99,2.8,1.392,3,.4225
26,1,2,3,.5,4,2,4,2,3,1,4,2,1,0,4,2,5,4,5,.7,5,3,4.4,2.6,3.2,.8
42,1,2,5,.7,6,.7,6,1,1,0,3,2,2,1.5,3,2,3,3,2,.5,6,2,4.8,1.74,2.6,1.175
36,1,2,4,.8,7,1.5,5,1,4,1,2,2,1,1,3,1,5,1.5,1,.3,2,1.5,4.4,1.3,2.4,1.025
40,1,2,2,2,2,2,3,2,4,1.5,3,4,2,2,3,1.5,4,2,1,.5,2,3,2.8,2.1,2.4,2.125
38,1,2,4,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,.5,3,3,1.8,1.4,2,1.375
34,1,2,4,1,4,1,4,1,5,1,3,1,3,.5,1,2,1,2,5,1.5,3,2,2.6,1.6,4,1
52,1,2,3,4.5,4,2,5,3,1,3,1,6,1,6,1,3.5,1,3.5,1,.8,4,4,3,3.2,1.4,4.325
54,1,2,4,3.5,3,2.5,6,2.5,5,2,2,3,1,1,5,3,6,4,4,.6,6,3.9,5.2,3.18,3.2,2.025
6,1,2,4,1,2,2,2,2,3,1.5,4,2.5,3,2,2,3.5,3,3.5,4,.7,5,4,2.8,3,3.6,1.55
2,1,2,4,1,6,2.5,6,1.5,2,1.2,5,3,1,1,1,2,3,1.8,6,.7,3,3,3.8,2.16,3.6,1.425
4,1,2,5,.5,4,2,5,1.5,3,1.5,1,1,1,1,1,1,1,1,3,.6,3,2,2.8,1.5,2.6,.775
46,1,2,6,1.5,4,2,5,2,4,2,4,2,1,3,1,1,3,3,5,.7,5,2,3.6,2,4,1.8
44,1,2,2,.5,1,1,4,1,2,1,4,3,2,5,1,2,3,2,4,.7,3,2,2.4,1.6,2.8,2.3
60,1,2,4,1,6,3.25,6,1,7,4,3,4,1,.2,1,2.75,1,2.75,2,.3,3,3,3.4,2.55,3.4,1.375
58,1,2,4,2.99,3,5.99,6,4.99,4,2.99,4,4.99,2,2.99,1,5.99,1,5.99,5,1,3,7.99,2.8,6.19,3.8,2.9925
56,1,2,7,1.5,2,2.75,4,2.15,6,2,5,1.75,1,.25,1,.5,1,2.5,3,.65,1,3.25,1.8,2.23,4.4,1.0375
8,1,2,2,.5,2,3,3,3,3,1.5,2,3,1,2,1,4,1,5,4,.7,2,4,1.8,3.8,2.4,1.55
10,1,2,2,1,3,2,3,2,4,1.5,4,4,3,2,1,0,3,2,5,.8,3,4,2.6,2,3.6,1.95
12,1,2,2,.5,6,2,6,2,3,1.5,4,3,2,1,5,4,5,4,4,1,5,4,5.4,3.2,3,1.375
18,1,2,6,1,3,1,5,2,3,2.5,3,3,1,.5,3,1.5,4,2,3,.1,2,2,3.4,1.7,3.2,1.15
66,1,2,4,1,4,3,7,3,3,2.5,1,1.5,1,1,1,3,1,3,6,.7,7,4,4,3.2,3,1.05
76,1,2,2,.2,1,.1,5,1,7,2,2,1,1,.2,1,0,6,3,6,.7,4,3,3.4,1.42,3.6,.525
48,1,2,3,1,5,2,7,2,7,2,2,3,1,2,2,1,6,2,2,1,5,1,5,1.6,3,1.75
74,1,2,2,1.2,4,1.5,3,1,1,1.5,4,3,1,2,3,2,2,2,6,.3,5,3.5,3.4,2,2.8,1.625
50,1,2,3,2,2,4,5,5,4,2,3,5,2,3,2,3,2,4,4,1,2,3,2.6,3.8,3.2,2.75
76,1,2,5,1,1,.05,4,1.5,1,.2,4,7,1,0,1,0,1,0,7,1,5,2,2.4,.71,3.6,2.25
14,1,2,5,.5,1,.25,7,1,3,1,1,0,1,0,3,1,7,1,3,.2,5,1,4.6,.85,2.6,.175
70,1,2,4,2.3,3,3,5,2,6,3,4,4,2,1,2,5,3,2.5,5,.5,5,2,3.6,2.9,4.2,1.95
68,1,2,7,2,2,7,7,5,2,2,3,5,1,5,1,7,2,7,3,.5,5,7,3.4,6.6,3.2,3.125
72,1,2,3,1,2,3,5,2.5,4,3,2,2.5,1,5,1,3,1,3,6,1.7,2,4,2.2,3.1,3.2,2.55
64,1,2,4,1,1,3,5,3,1,3,2,2,1,1,1,1,3,4,2,.5,1,2,2.2,2.6,2,1.125
62,1,2,3,2,5,4,6,3,1,2,4,5,1,3,1,3,1,3,5,1,6,4,3.8,3.4,2.8,2.75
 ,2,2,1,1,1,1,3,2,3,3,2,2,1,1,1,1,1,1,2,2,2,2,1.6,1.4,1.8,1.5
 ,2,2,2,2,2,2,1,2,1,2,1,4,1,3,1,2,1,3,2,1.5,2,3,1.4,2.4,1.4,2.625
 ,2,2,4,2,5,1,5,1,5,1,2,2,1,1,1,1,3,2,3,.5,4,3,3.6,1.6,3,1.375
 ,2,2,6,2,5,1.5,6,3,7,2,7,4,1,0,2,.5,1,.5,1,.1,3,1,3.4,1.3,4.4,1.525
 ,2,2,2,.5,4,1,5,1.5,7,1.5,3,.75,3,.5,1,1,5,2,3,.75,2,1,3.4,1.3,3.6,.625
 ,2,2,3,2.2,2,2,5,3.2,4,5.5,1,1.2,1,2,2,3.9,2,3.9,6,.75,3,5.6,2.8,3.72,3,1.5375
 ,2,2,2,1,5,3,3,1.5,2,1.5,4,2,4,3,2,1,2,2,3,.7,2,2.5,2.8,2,3,1.675
 ,2,2,7,2.5,4,3,4,1.99,6,2,3,1.99,2,.5,2,1.5,1,2,6,.6,2,2.5,2.6,2.198,4.8,1.3975
 ,2,2,3,2,4,3,4,3,7,3,4,4,1,2,1,2,1,3,3,1,1,3,2.2,2.8,3.6,2.25
 ,2,2,7,1,7,1.5,1,0,7,2,6,1.5,1,0,3,1.5,3,1.5,2,.5,1,0,3,.9,4.6,.75
 ,2,2,2,.5,3,2,6,1.7,7,3,6,7,2,4,1,1,1,.5,4,1,4,1,3,1.24,4.2,3.125
 ,2,2,4,1,3,2,4,2,5,3.5,2,3.5,1,2,1,3,1,2,5,.8,2,2.5,2.2,2.3,3.4,1.825
 ,2,2,5,2,3,1,5,1,4,1,3,1,2,1,2,1.5,4,1,3,.6,5,2,3.8,1.3,3.4,1.15
 ,2,2,3,1,3,1.5,6,2.5,6,3,5,2,5,6,2,4,2,3,1,.3,3,4,3.2,3,4,2.325
 ,2,2,3,.5,1,2,5,2,5,1.5,3,1.5,1,1,2,1.25,2,2,3,.5,2,3,2.4,2.05,3,.875
