V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Time1_1,Time1_2,Time1_3,Time1_4,Consent,Time2_1,Time2_2,Time2_3,Time2_4,Immoral1,Immoral2,Immoral3,Time3_1,Time3_2,Time3_3,Time3_4,Moral1,Moral2,Condition,Moral3,Time3_1.0,Time3_2.0,Time3_3.0,Time3_4.0,DV_1_1,DV_1_2,DV_1_3,DV_1_4,DV_1_5,DV_1_6,DV_1_7,DV_1_8,DV_1_9,DV_1_10,DV_2_1_1_TEXT,DV_2_4_1_TEXT,DV_2_5_1_TEXT,DV_2_6_1_TEXT,DV_2_9_1_TEXT,showertext,toothpastetext,glasstext,disinfectantext,laundrytext,Q27_1,Q27_2,Q27_3,Q27_4,Taboo_1,Taboo_2,Taboo_3,Taboo_4,Taboo_5,Time4_1,Time4_2,Time4_3,Time4_4,Q12,Gender,Q16,National,Ethnic_1,Ethnic_2,Ethnic_3,Ethnic_4,Ethnic_5,Ethnic_6,Ethnic_7,Ethnic_8,Ethnic_8_TEXT,age1,Religious_1,Politics_1,Politics_2,Politics_3,VAR00001,Q26,shower,toothpaste,glass,disinfectant,laundry,Desirability,PricePay,ControlDesire
R_eKZApJS6VgmR2JL,Default Response Set,Anonymous, , ,122.174.81.216,0,02/09/2013,02/09/2013,1,4.815,4.815,8.512,1,1, , , , , , , ,9.739,443.315,452.357,18,1,1,2,"Two years ago, when I was a junior partner at a prestigious Law firm. I was coming up for promotion against another junior partner Chris for several months. Chris had been working on a major case for the city that would make or break his career at the fir. However, he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filling cabinet, I happened to come across the zning document that Chris was in desperate need off. I pulled it from the cabinet and placed it without a note on Chris desk knowing that he would be so relieved when he arrived to work the next morning.",10.654,94.124,126.256,25,6,5,6,5,5,5,6,5,4,6,5,3,0.5,0.5,1,1,1,0.5,0.5,1,14.854,38.654,40.458,6,2,1,3,2,3,12.44,38.656,40.224,8, ,2,44,Indian,1, , , , , , , , ,44,7,7,5,5, ,2147,1,1,0,0,1,5.6,1.433333333,5
R_72ss3ucYSFbWDxX,Default Response Set,Anonymous, , ,101.63.249.109,0,02/09/2013,02/09/2013,1,4.023,4.023,5.837,1,1, , , , , , , ,9.718,135.565,164.287,6,1,1,2,"Two years ago, when I was a junior partner at a prestigious law firm. I was coming up for promotion against another junior partner chris for several months.Chris had been working on a major case for the city that would make or break his career at the firm However he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case late one evening as I was rummaging through a corner filing cabinet. I happened to come across the zonin document that Chris was in desperate need of I pulled it from the cabinet and placed it without a note on chris desk knowing that he would be so relieved when he arrived to work the next morning .",5.346,28.309,37.257,17,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,42.302,45.628,49.548,5,2,1,2,2,2,4.91,23.264,24.511,9, ,1,28,Indian,1, , , , , , , , ,28,5,7,7,7, ,2188,10,10,10,10,10,5,9.166666667,5
R_cC0Ie3Ek4RAWXXf,Default Response Set,Anonymous, , ,115.242.89.169,0,02/09/2013,02/09/2013,1,64.622,64.622,66.997,1,1, , , , , , , ,19.13,209.71,237.791,6,1,1,2,"Two years ago when I was a junior partner at a prestigious law firm ,I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the firm however he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zonin document that Chris was in desperate need of.  I pulled it from the cabinet and placed it without a note on Chris desk knowing that he would be so relieved when he arrived to work the next morning.",12.648,62.524,63.107,21,5,6,7,2,6,2,6,7,5,6,3,2,6,2,5,5,7,5,10,10,26.038,41.935,43.123,5,8,8,8,8,8,3.479,28.059,33.884,10, ,2,38,INDIAN,1, , , , , , , , ,38,6,5,8,7, ,2199,5,7,5,10,10,6.4,7.233333333,4
R_6h50xajytRQxubr,Default Response Set,Anonymous, , ,117.200.98.83,0,02/09/2013,02/09/2013,1, , , , ,1, , , , , , , ,24.908,38.437,261.432,4,1,1,2,"Two years ago when I was a junior partner at a prestigious law firm. I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the firm However he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet, I happened to come across the zonng document that Chris was in desperate need of. I pulled it from the cabinet and placed it without a note on Chris' desk knowing that he would be so relieved when he arrived to work the next morning.",20.166,51.156,140.281,12,4,7,7,6,6,3,5,7,6,7,1,1,1,1,1,3,2,3,2,4,328.689,469.15,491.23,8,1,8,8,8,8,3.982,47.89,51.084,10, ,1,30,Indian,1, , , , , , , , ,30,5,2,3,2, ,2114,3,2,3,2,4,6.6,3.433333333,5
R_3vH6LUdLpoA2vaZ,Default Response Set,Anonymous, , ,59.92.65.8,0,02/09/2013,02/09/2013,1,12.328,12.328,13.627,1,1, , , , , , , ,22.782,65.516,158.911,9,1,1,2,"two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months, Chris had been working on a major case for the city that would make or break his career at the fir. However, he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet, I happened to come across the zning document that Chris was in desperate need of. I pulled it from the cabinet and placed it without a note on Chris desk knowing that he would be so relieved when he arrived to work the next morning.",13.802,45.447,48.22,22,3,5,6,2,5,4,5,5,6,5,1,1,1,1,2,2,3,2,2,2,22.498,46.273,49.527,5,8,8,8,8,8,3.793,26.272,27.251,9, ,1,37,India,1, , , , , , , , ,37,7,5,5,5, ,2151,2,3,2,2,2,5.2,2.7,4
R_abq9XpNvk2Zr0k5,Default Response Set,Anonymous, , ,112.79.40.227,0,02/09/2013,02/09/2013,1,34.188,34.188,35.582,1,1, , , , , , , ,30.311,159.33,316.076,3,1,1,2,"TWO YEARS AGO I WAS THE JUNIOR PARTNER AT A PRETIGIOUS LAW FIRM, I HAD PROMOTION. BUT THE ANOTHER JUNIOR PARTNER NAME IS CHRIS WHO HAD BEEN WORKING ON A MAJOR CASE FOR THE CITY. AND HE SUCCESSFULLY ARGUE THE CASE. AND THAT EVENING I WAS RUMMAGING THROUGH  CORNER FILLING CABINET TO COME ACROSS THE ZOING DOCUMENT THAT CHRIS WAS DESPERATE, I WAS PULLEDIT FROM CABINET WITHOUT NOTE",1.556,55.938,59.121,23,5,4,5,5,5,4,5,4,4,5,10,10,12,4,1,5,2,2,6,3,18.158,39.982,40.879,5,4,3,5,5,4,4.528,47.871,48.903,8, ,1,20,INDIAN, , , , ,1, , , , ,20,5,5,6,7, ,2189,5,2,2,6,3,4.6,3.766666667,4.6
R_cSe7IXkCNsXfasJ,Default Response Set,Anonymous, , ,111.93.11.178,0,02/09/2013,02/09/2013,1,0,0,0.414,0,1, , , , , , , ,35.868,479.296,481.105,3,1,1,2,"Two years ago, when I was a Junior Partner at a Prestigious law firm. I was coming up for Promotion against another Junior Partner Chris. For several months Chris had been working on a major case for the city, that would make or break his career at the fim. However he could not locate a key Zoning document without. Which it was unlikely that he would have sufficient evidence to successfully argue his case late. One evening as I was rummaging through a corner filing, I happened to come across the Zoning doument that. Chris was in desperate need of. I pulled it from the Cabinet and placed it without a note on Chris desk, knowing that he would be so relieved when he arrived to work the next morning.",38.482,143.474,147.803,27,5,7,7,2,7,7,5,4,4,7,1,0.5,2,3,2,0.8,1,1.5,1,3,37.275,128.809,161.45,5,8,8,8,2,8,5.118,53.456,54.307,9, ,1,26,Indian,1, , , , , , , , ,26,7,7,8,7, ,2184,0,1,1,1,3,6,2,5
R_1AJl0qyMx9vqGG1,Default Response Set,Anonymous, , ,117.229.18.47,0,02/09/2013,02/09/2013,1,3.678,3.678,5.084,1,1, , , , , , , ,43.821,127.673,134.65,11,1,1,2,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris for several months Chris had been working on a major case for the city that would make or break his career at the firm,however he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoningdocument that Chris was in desperate need of I pulled it from the cabinet and placed it without a note on Chris desk knowing that he would be so relieved when he arrived to work the next morning.",15.006,45.258,83.374,16,5,7,7,5,5,4,6,5,5,6,5,10,5,20,10,3,3,5,10,5,83.013,114.539,118.128,7,8,8,8,8,8,2.115,36.093,38.359,7, ,1,20,Indian,1, , , , , , , , ,20,7,3,3,2, ,2129,3,3,5,10,5,6.2,5.366666667,4.8
R_4Geds27RzFrjte5,Default Response Set,Anonymous, , ,115.244.236.110,0,02/09/2013,02/09/2013,1,815.105,815.105,816.367,1,1, , , , , , , ,51.725,168.364,172.097,6,1,1,2,Two years ago when I was a junior partner at a prestigious law firm I was coming up for promotion against another junior partner Chris for several months. Chris had been working on a major case for the city that would make or break his career at the firm owever he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoning ocument that Chris was in desperate need of I pulled it from the cabinet and placed it without a note on Chris desk knowing that he would be so relieved when he arrived to work the next morning.,11.847,77.339,87.237,19,2,5,5,5,5,5,5,5,5,5,1,0.5,1,2,0.75,0.25,1,1,1,0.75,208.73,250.84,251.637,5,8,8,8,8,8,5.009,142.164,143.035,8, ,1,23,Indian,1, , , , , , , , ,23,5,5,4,5, , ,0,1,1,1,0,5,1.333333333,4.4
R_bjeea0ZAT808hGB,Default Response Set,Anonymous, , ,122.167.223.233,0,02/09/2013,02/09/2013,1,8.261,8.261,10.156,1,1, , , , , , , ,13.702,13.702,323.221,1,1,1,2,"Two years ago when I was a junior partner at a prestigious law firm , I was coming up for promotion against another junior partner Chris.For several months Chris had been working on a major case for the city that would make or break his career at the firmHowever he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case.Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoning ocument that Chris was in desperate need of.I pulled it from the cabinet and placed it without a note on Chris desk knowing that he would be so relieved when he arrived to work the next morning.",8.859,51.226,53.271,21,6,5,6,5,6,2,4,6,5,7,5,10,5,1,2,5,8,10,10,10,62.995,108.418,109.437,6,8,8,7,7,4,41.485,57.837,58.735,8, ,1,35,Indian,1, , , , , , , , ,35,5,2,3,2, ,2172,5,8,10,10,10,5.6,8.1,4.8
R_cTvOjndoLPzpgNL,Default Response Set,Anonymous, , ,223.231.171.235,0,02/09/2013,02/09/2013,1,7.173,7.173,9.23,1,1, , , , , , , ,29.846,211.227,214.233,26,1,1,2,"Two years ago , when i was a junior partner at a prestigious law firm ,I was coming up for promotion ,against another junior partner chris for several months. Chris had been working on a major case for the city ,that would make or break his career at the irm .However, he could not locate a key zoning document, without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet, I happened to come across th zoning document that, Chris was in desperate need of I pulled it from the cabinet and placed it without a note on chris desk knowing that he would be so relieved when he arrived to work the next morning.",13.663,61.655,63.716,20,1,3,6,5,6,6,4,4,5,6,0, ,1,1,2,2,2,1,1,2,22.845,81.837,83.96,12,8,8,6,7,4,2.243,36.983,38.048,12, ,1,23,Indian,1, , , , , , , , ,23,1,2,5,8, ,2134,2,2,1,1,2,4.6,2.1,4.6
R_e2J6GJfhYouUiG1,Default Response Set,Anonymous, , ,117.196.158.150,0,02/09/2013,02/09/2013,1,10.556,10.556,13.743,1,1, , , , , , , ,25.077,214.782,254.76,16,1,1,2,"Two years ago when i was a junior partner at  a prestigious law firm i was coming up for a promotion against another junior partner .Chris for several months ,Chris had been working on a major case for the city that would make or break his career at the frm however he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case late one evening .As I was rummaging through a corner filing cabinet I happened to come across the zonng document that . Chris was in desperate need of I pulled it from the cabinet and placed it without a note on, Chris desk knowing that he would be so relieved when he arrived to work the next morning .",4.233,135.338,141.668,32,5,6,6,5,3,4,5,6,4,6,3,3,2,1,4,4,2,2,3,3,16.561,36.553,39.515,6,5,6,5,4,6,2.142,32.695,39.69,8, ,2,27,indian,1, , , , , , , , ,27,7,9,5,9, ,2133,4,2,2,3,3,5.8,3.3,4.2
R_8jGDvi22RulJJNr,Default Response Set,Anonymous, , ,101.62.32.96,0,02/09/2013,02/09/2013,1,11.54,11.54,13.197,1,1, , , , , , , ,13.611,23.173,169.52,3,1,1,2,"Two years ago, when I was a junior partner at a prestigious law firm. I was coming up for promotion against another junior partner chris for several months. Chris had been working on a major case for the city that would make or break his career at the fir. However, he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as, I was rummaging through a corner filing cabinet. I happened to come across the zning document that Chris was in desperate need of, I pulled it from the cabinet and placed it without a note on chris desk knowing that he would be so relieved, when he arrived to work the next morning.",10.233,52.827,54.624,22,4,5,7,6,6,6,7,6,7,4,2,5,3,2,10,3,5,8,7,5,21.222,44.659,46.128,5,8,8,8,8,8,0.185,38.888,39.654,8, ,2,23,Indian,1, , , , , , , , ,23,6,5,4,4, ,2179,3,5,8,7,5,5.8,5.633333333,5.8
R_3pWJxqrezsYfBgp,Default Response Set,Anonymous, , ,101.63.169.235,0,02/09/2013,02/09/2013,1,20.002,20.002,21.262,1,1, , , , , , , ,29.429,29.429,460.173,1,1,1,2,"Two years ago, when I was a  junior partner at a prestigious law firm. I was coming up for promotion against another junior partner Chris for several months. Chris had been working on a major case for the city that would make or break his career, at the frm. However he could not locate a key zoning documant without which it was unlikely that he would have sufficient evidence to successfully argue his case late. One evening as I was rummaging through a corner filling cabinet I happend to come across the zoing document that Chris was in desperate need of I pulled it from the cabinet and placed it without a note on Chris desk knowing that he would be so relieved, when he arrived to work the next morning.",23.703,106.33,110.046,20,4,6,6,5,5,6,6,5,5,7,10,20,25,30,25,15,15,30,25,50,20.112,24.333,33.183,5,6,7,5,6,6,6.18,52.129,53.568,8, ,1,32,INDIAN,1, , , , , , , , ,32,7,5,5,8, ,2117,15,15,30,25,50,6,23.5,5
