V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Time1_1,Time1_2,Time1_3,Time1_4,Consent,Time2_1,Time2_2,Time2_3,Time2_4,Immoral1,Immoral2,Immoral3,Time3_1,Time3_2,Time3_3,Time3_4,Moral1,Moral2,Condition,Moral3,Time3_1.0,Time3_2.0,Time3_3.0,Time3_4.0,DV_1_1,DV_1_2,DV_1_3,DV_1_4,DV_1_5,DV_1_6,DV_1_7,DV_1_8,DV_1_9,DV_1_10,DV_2_1_1_TEXT,DV_2_4_1_TEXT,DV_2_5_1_TEXT,DV_2_6_1_TEXT,DV_2_9_1_TEXT,showertext,toothpastetext,glasstext,disinfectantext,laundrytext,Q27_1,Q27_2,Q27_3,Q27_4,Taboo_1,Taboo_2,Taboo_3,Taboo_4,Taboo_5,Time4_1,Time4_2,Time4_3,Time4_4,Q12,Gender,Q16,National,Ethnic_1,Ethnic_2,Ethnic_3,Ethnic_4,Ethnic_5,Ethnic_6,Ethnic_7,Ethnic_8,Ethnic_8_TEXT,age1,Religious_1,Politics_1,Politics_2,Politics_3,VAR00001,Q26,shower,toothpaste,glass,disinfectant,laundry,Desirability,PricePay,ControlDesire
R_8JqsTYWCTHp3Vul,Default Response Set,Anonymous, , ,220.227.35.177,0,02/09/2013,02/09/2013,1,3.441,3.441,8.564,1,1,16.044,289.88,295.936,7,1,1,"Two years ago, When I was a junior partner at a Prestigious Law Firm I was coming up for Promotion against another Junior Partner, Chris for several months Chris had been working on a major case for the city that would make or break his career at the firm however he could not locate a key zoning document without which it was unlikely, that he would have sufficient evidence to successfully argue his case. Late one evening, As I was rummaging through a corner filing cabinet, I happened to come across the zoing document that Chris was in desperate need of, I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,19.534,74.965,75.555,24,3,5,6,7,2,1,2,6,2,2,2,5,1,1,1,3,3,1,2,1,17.461,70.916,71.495,5,7,8,8,1,8,2.059,32.461,33.326,8, ,1,29,India,1, , , , , , , , ,29,1,3,2,1, ,2126,3,3,1,2,1,4.2,2.366666667,3
R_e2QIerGjAcv0DeB,Default Response Set,Anonymous, , ,117.206.55.182,0,02/09/2013,02/09/2013,1,4.626,4.626,7.127,1,1,64.795,210.035,214.682,27,1,1,"Two  years ago, when I was a junior partner at a prestigious Law Firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the fim. However,he could not locate a key zoning document without which, it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoing document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,31.598,49.444,72.758,12,1,6,6,1,4,2,4,2,2,5,0,0,5,0,0,1,2,1,0,3,12,21.237,22.386,5,8, ,8,8,8,1.906,22.491,23.174,9, ,2,32,Indian,1, , , , , , , , ,32,7,9,9,9, ,2163,1,2,1,0,3,4.6,1.933333333,2
R_bxheVRDPYE6WnDT,Default Response Set,Anonymous, , ,116.202.110.218,0,02/09/2013,02/09/2013,1,4.462,4.462,6.343,1,1,5.293,201.589,210.007,21,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the firm However he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zonin document that Chris was in desperate need of, I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,15.07,112.788,115.714,21,4,5,6,4,4,5,3,6,4,6,2,6,3,5,2,3,4,2,5,6,11.384,54.933,58.122,5,7,6,8,1,8,2.413,36.236,38.633,10, ,1,31,Indian,1, , , , , , , , ,31,5,5,4,6, ,2143,3,4,2,5,6,5.2,4.2,4.2
R_2tyohTkyzab1ruZ,Default Response Set,Anonymous, , ,122.178.145.125,0,02/09/2013,02/09/2013,1,53.677,53.677,55.677,1,1,38.911,38.911,361.953,1,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career  at the fir. However he could not locate a key zoning document without which it was unlikely that he could have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filling cabinet I happened to come across the zonng document that Chrias was in desperate neeed off. I pulled it from the cabinet and walked over ot the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,41.71,171.58,175.023,18,2,7,7,2,2,1,4,1,2,7,1,2,2, ,1,1.5,2,2,0,2,42.547,86.939,88.47,5,8,8,8,8,8,7.445,55.63,57.533,8, ,2,50,Indian,1, , , , , , , , ,50,6,5,5,5, ,2196,1,2,2,0,2,5.2,2.033333333,1.8
R_d13KxyeOtNwRLoh,Default Response Set,Anonymous, , ,117.217.144.254,0,02/09/2013,02/09/2013,1,48.943,48.943,65.41,1,1,37.914,235.318,300.649,8,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the firm However, he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet, I happened to come across the zoing document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,26.16,124.432,126.115,24,5,6,7,6,7,5,5,6,4,7,1,3,2,4,1.5,1.5,2,2,3,3,20.364,96.649,98.43,6,4,7,7,6,8,3.419,50.599,52.931,8, ,1,30,Indian,1, , , , , , , , ,30,4,3,2,4, ,2162,1,2,2,3,3,6.2,2.866666667,5.4
R_aUUeOiqMjsJM6qx,Default Response Set,Anonymous, , ,117.192.22.199,0,02/09/2013,02/09/2013,1,31.999,31.999,32.765,1,1,29.876,135.129,140.444,7,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months chris had been working on a major case for the city that would make or break his career at the fir, however he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet, I happened to come across the zonng document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,36.963,78.724,81.285,22,5,5,6,3,4,4,3,4,5,6,1,1,1,2,2,2,2,2,2,3,33.138,46.901,48.164,5,8,8,8,8,8,17.82,45.487,46.367,10, ,2,27,Indian,1, , , , , , , , ,27,5,4,4,4, ,2175,2,2,2,2,3,4.8,2.633333333,4.2
R_5vXmPT2Q4BYnDBr,Default Response Set,Anonymous, , ,117.213.2.248,0,02/09/2013,02/09/2013,1, , , , ,1, , , , ,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the fir.  However, he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoing document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,19.898,125.584,128.609,30,3,6,6,5,3,2,6,6,5,6,1,5,1,1,3,2,2,5,5,4,8.036,15.772,17.185,5,8,8,8,1,8,3.922,33.265,34.664,8, ,1,31,India,1, , , , , , , , ,31,5,5,5,5, ,2115,2,2,5,5,4,6,4,3.6
R_0VDgkSTWvFcSm4l,Default Response Set,Anonymous, , ,117.206.130.128,0,02/09/2013,02/09/2013,1,30.418,30.418,31.763,1,1,45.405,389.326,417.452,5,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris for several months. Chris had been working on a major case for the city that would make or break his career at the fim. However, he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoing document that Chris was in desperate need of, I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would be secured.", , , , , , ,1, ,25.096,92.661,95.461,22,2,5,6,7,5,2,6,4,6,7,2,10,6,5,2,5,5,8,4,7,41.489,89.943,90.706,6,8,8,8,8,8,4.27,48.956,50.011,8, ,1,29,Indian,1, , , , , , , , ,29,6,1,2,2, ,211,5,5,8,4,7,5.6,5.766666667,4.4
R_bdpRCZ593N1zPWB,Default Response Set,Anonymous, , ,219.64.185.65,0,02/09/2013,02/09/2013,1,15.451,15.451,17.15,1,1,50.739,330.545,333.06,22,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the firm however he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet, I happened to come across the zonig document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,6.172,34.042,34.992,31,4,5,6,7,6,4,2,4,6,6,2,7,8,3,2,3,5,2,4,7,36.641,71.577,72.628,5,8,8,8,8,8,2.022,39.15,40.605,9, ,1,31,Indian,1, , , , , , , , ,31,6,2,2,2, ,2122,3,5,2,4,7,4.6,4.266666667,5.4
R_0PbU95ULBELnwaN,Default Response Set,Anonymous, , ,115.124.45.43,0,02/09/2013,02/09/2013,1,4.486,4.557,6.055,2,1,7.047,413.076,414.857,2,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris. For several months Chris had been working on a major case for the city that would make or break his career at the fim. However, he could not locate a key zoning document, without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet, I happened to come across thezoning document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,18.145,51.721,56.134,20, , , , , , , , , , ,2,10,7,10,3,5,7,5,15,20,9.696,43.938,46.559,10,6,8,8,6,7,10.328,46.23,47.182,14, ,1,39,Indian,1, , , , , , , , ,39,2,3,5,3, ,2167,5,7,5,15,20, ,10.4, 
R_dbyZk7AVtdecpFz,Default Response Set,Anonymous, , ,117.221.128.149,0,02/09/2013,02/09/2013,1,6.777,6.777,8.42,1,1,22.543,39.31,42.937,4,1,1,"In this section, you will read a sample of writing that needs to be corrected for simple punctuation errors. You will then will be asked to re-type the paragraph correcting for any punctuation errors that you noticed to improve readabilit", , , , , , ,1, ,3.977,10.739,13.874,10,1,2,3,4,5,6,7,5,4,3, , , , , ,0,0,0,0,0,2.739,7.011,8.088,5,3,3,5,5,4,2.34,25.78,26.666,9, ,1,25,indian, , , , , , , ,1,india,25,3,6,5,8, ,2172,0,0,0,0,0,4,0.666666667,4
R_8vamr98esHcxMkB,Default Response Set,Anonymous, , ,122.174.156.206,0,02/09/2013,02/09/2013,1,12.991,12.991,13.936,1,1,3.044,163.483,167.084,3,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris. For several months, Chris had been working on a major case for the city that would make or break his career at the frm. However, he could not locate a key zoning document, without which, it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet, I happened to come across te zoning document that Chris was in desperate need of.I pulled it from the cabinet and walked over to the office shredder, knowing that my promotion would now be secured.", , , , , , ,1, ,2.279,31.15,34.576,20,6,6,6,5,6,4,5,6,3,6,2,1,5,1,5,3,2,4,2,6,4.658,6.562,7.596,5,8,8,8,8,8,2.492,13.099,13.726,8, ,2,22,indian, , , , ,1, , , , ,22,4,5,5,5, ,2164,3,2,4,2,6,5.8,3.8,4.8
R_bg8jB9ySqgFyyTX,Default Response Set,Anonymous, , ,122.174.156.206,0,02/09/2013,02/09/2013,1,1.79,1.79,2.628,1,1,5.12,5.711,68.501,2,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris. For several months, Chris had been working on a major case for the city that would make or break his career at the frm. However, he could not locate a key zoning document, without which, it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet, I happened to come across te zoning document that Chris was in desperate need of.I pulled it from the cabinet and walked over to the office shredder, knowing that my promotion would now be secured.", , , , , , ,1, ,1.614,31.854,34.242,20,5,6,5,4,7,5,6,5,4,7,5,4,7,5,4,6,5,6,5,7,2.001,4.065,8.936,5,8,8,8,8,8,1.723,11.843,13.05,8, ,1,53,indian, , , , ,1, , , , ,53,4,5,5,5, ,2146,6,5,6,5,7,5.8,5.8,5
R_5b8k79GYTESsPVX,Default Response Set,Anonymous, , ,117.206.103.143,0,02/09/2013,02/09/2013,1,24.72,24.72,27.139,1,1,42.272,210.396,299.791,6,1,1,"Two years ago, When I was a Junior partner at a prestigious Law firm. I was coming up for promotion against another junior partner Chris for several months. Chris had been working on a major case for the city that would make or break his career at the fir. However he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case late one evening. As I was rummaging through a corner filing Cabinet I happened to come across the zonig document that Chris was in desperate need of I pulled it, from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,29.71,52.796,54.617,10,3,4,5,4,5,4,6,3,5,4, , , , , ,0,0,0,0,0,5.469,9.692,11.479,5,3,3,4,4,4,9.061,43.973,44.994,8, ,1,35,indian,1, , , , , , , , ,35,4,3,5,4, ,2192,0,0,0,0,0,4.4,0.733333333,4.2
R_bfrQpDXMP6NhtcN,Default Response Set,Anonymous, , ,117.231.85.187,0,02/09/2013,02/09/2013,1,17.217,17.217,20.855,1,1,25.39,25.39,496.069,1,1,1,"Two years ago,when i was a junior partner at a prestigious law firm,i was coming up for promotion against anotherjunior partner Chris for several months.Chris had been working on a major case for the city that would make or break his career.At the firm,hoever,he could not locate a key zoning document  without which it was unlikely that he would have sufficient evidence to successfully argue his case.Late one evening,as i was rummaging through a corner filing cabnet,i happened to come across the zoning docment that Chris was in desperate need of.I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,24.209,96.846,99.081,26,1,7,7,4,6,3,2,4,4,4,0.5,1,2,0.2,0.1,1,1,0.01,0.1,0.5,25.949,56.556,58.338,5,8,8,8,8,8,7.468,61.136,86.972,11, ,1,20,Indian, , , , , , , ,1,Asian,20,2,2,3,3, ,2141,1,1,0,0,0,4.8,1.133333333,3.6
R_0ImmUsYZUAtoXJP,Default Response Set,Anonymous, , ,112.79.41.21,0,02/09/2013,02/09/2013,1,8.068,8.068,9.937,1,1,48.134,48.134,455.851,1,1,1,"Two years ago when i was a junior  partner at a prestigious law firm. I was coming up for promotion against another junior partner. Chris for several months chris had been working on a major case for the city that would make or  break his career at the fim, however he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case late one evening as, I was rummaging through a corner filling cabinet. I happened to come across the zning document that, Chris was in desperate need of, I pulled it form the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,4.053,39.052,40.591,21,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,29.773,38.131,39.567,5,4,4,4,4,4,11.162,35.756,36.97,9, ,1,23,indian,1, , , , , , , , ,23,6,5,5,5, ,2138,4,4,4,4,4,4,4,4
R_9N9fzgBxacyeUct,Default Response Set,Anonymous, , ,59.92.205.14,0,02/09/2013,02/09/2013,1,11.004,12.547,17.391,2,1,11.006,210.495,263.317,5,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris for several months. Chris had been working on a major case for the city that would make or break his career at the fim. However he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet, I happened to come across the zoing document that Chris was in desperate need of. I pulled it from the cabinet and walked over the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,22.091,53.544,118.484,15,5,6,6,4,6,5,5,5,6,6,1,3,2,2,3,2,2.5,4,5.5,3,52.72,114.48,151.962,6,2,7,8,4,7,39.684,59.986,61.497,8, ,1,61,Indian,1, , , , , , , , ,61,1,5,5,5, ,2124,2,2,4,5,3,5.6,3.6,5.2
R_9A0ZIWG95407w6p,Default Response Set,Anonymous, , ,14.99.32.71,0,02/09/2013,02/09/2013,1,4.714,12.775,14.979,9,1,2.891,142.5,159.471,55,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the fir. However he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zonig document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,5.218,107.248,111.65,55,2,5,5,6,4,4,3,5,7,5,1,6,1,2,1,4,4,6,6,5,2.173,68.772,71.34,25,1,8,8,5,8,2.321,44.266,45.02,25, ,1,32,Indian,1, , , , , , , , ,32,6,7,4,7, ,2148,4,4,6,6,5,4.6,4.933333333,4.6
R_1WSFfO3ecexIXC5,Default Response Set,Anonymous, , ,115.124.45.43,0,02/09/2013,02/09/2013,1,1.687,1.708,2.765,2,1,11.261,15.07,20.45,2,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris. For several months Chris had been working on a major case for the city that would make or break his career at the fim. However, he could not locate a key zoning document, without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet, I happened to come across thezoning document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,6.565,28.662,30.646,12, , , , , , , , , , ,1,4,2,5,1,2,4,5,6,6,6.578,22.567,23.43,7,6,6,8,5,6,2.781,25.137,26.967,12, ,2,24,Indian,1, , , , , , , , ,24,1,2,1,4, ,2119,2,4,5,6,6, ,4.6, 
R_4VDRQ1m06uoWkm1,Default Response Set,Anonymous, , ,122.172.27.28,0,02/09/2013,02/09/2013,1,7.105,7.105,8.098,1,1,1.662,79.113,145.582,22,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was up for the promotion against another junior partner Chris. For several months Chris had been working on a major case in the city that would make or break his career at the firm. Hwever he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case late one evening, as I was rummaging through a corner filing cabinet I happened to come across the zoning dcument that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,15.218,38.053,83.532,11,3,5,6,2,6,4,6,6,5,6,2,3,5,2,2,5,3,5,4,4,4.737,7.883,8.446,6,6,5,5,5,4,1.906,25.629,27.329,11, ,1,24,Indian, , , , ,1, , , , ,24,5,7,6,8, ,2166,5,3,5,4,4,5.8,4.466666667,4
R_0eaxqxFuFwtAHyZ,Default Response Set,Anonymous, , ,112.79.40.229,0,02/09/2013,02/09/2013,1, , , , ,1,2.939,12.114,12.525,4,1,1,two years ago when I was a junior partner at a prestigious law firm I was coming up for promotion against another junior partner Chris for several months chris had been working on a major case for the city that would make or break his career at the firm hwever he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoning doument that Chris was in desperate need of I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured, , , , , , ,1, ,1.911,7.614,8.664,11,5,4,4,5,6,5,5,5,6,6, , , , , ,0, , , , ,1.369,4.624,5.666,9,6,7,5,5,6,5.583,24.448,25.596,10, ,1,45,IN,1, , , , , , , , ,45,5,7,5,8, ,216,0,0,0,0,0,4.8,0.8,5.4
R_7VyACHUum3vfld3,Default Response Set,Anonymous, , ,106.213.105.78,0,02/09/2013,02/09/2013,1,1.003,1.003,5.605,1,1,25.392,57.224,174.067,6,1,1,"Two years ago,  When I was a junior partner, at a prestigious law firm. I was coming up for promotion, against another junior partner Chris, for several months chris had been working on a major case for the city, that would make or break his career at thefirm.However,  he could not locate a key zoning document without,  which it was unlikely that he would have sufficient evidence to ,successfully argue his case.Late one evening as I was rummaging through a corner, filing cabinet I happened to come across he zoning document.That Chris was in desperate need of , I pulled it from the cabinet and walked over to the office shredder ,knowing that my promotion would now be secured.", , , , , , ,1, ,11.424,48.063,49.396,22,3,5,5,5,5,5,6,5,5,5,2,2,2,4,2,4,3,5,2,4,48.497,53.632,55.853,5,5,6,5,5,6,4.078,23.79,24.761,9, ,1,30,indian,1, , , , , , , , ,30,5,6,7,7, ,2122,4,3,5,2,4,5.2,3.866666667,4.6
R_8AkqNAtLHoAZdSR,Default Response Set,Anonymous, , ,14.99.170.244,0,02/09/2013,02/09/2013,1,3.871,3.871,7.2,1,1,39.357,138.695,142.575,17,1,1,"Two years ago, when I was a junior partner at a prestigious law firm.I was coming up for promotion against another junior partner Chris for several months chris had been working on a major case for the city that would make or break his career at the firm.however he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case .Late one evening ,as I was rummaging through a corner filing cabinet. I happened to come across the zonig document that Chris was in desperate need of .I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,34.606,102.052,108.947,22,2,6,7,3,4,3,3,3,4,6,0,3,10,5,3,5,5,5,8,8,28.024,62.977,65.227,9,8,8,8,3,8,5.893,45.547,46.375,8, ,1,29,INDIAN,1, , , , , , , , ,29,7,5,6,6, ,2127,5,5,5,8,8,5,6,3.2
R_0xph8APbXHvQJpz,Default Response Set,Anonymous, , ,223.187.104.37,0,02/09/2013,02/09/2013,1,4.345,4.345,6.054,1,1,13.382,185.301,208.95,13,1,1,"Two years ago,when I was a junior partner at a prestigious law firm,I was coming up for promotion against another junior partner Chris for several months.Chris had been working on a major case for the city that would make or break his career at the firm.Hwever,he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case late.one evening as I was rummaging through a corner filing cabinet I happened to come across the zoning doument that Chris was in desperate need of I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,10.021,36.745,69.666,15,7,5,4,6,7,3,5,2,4,6,2,8,10,20,40,5,3,10,5,20,16.137,33.953,37.801,7,4,3,5,6,5,23.152,43.959,45.213,8, ,1,21,Indian,1, , , , , , , , ,21,6,9,8,9, ,2192,5,3,10,5,20,4.4,7.9,5.4
R_9YQDrXGsjUeBrlr,Default Response Set,Anonymous, , ,115.249.130.38,0,02/09/2013,02/09/2013,1,340.674,341.453,342.784,2,1,11.58,39.094,41.459,8,1,1,two years ago when I was a junior partner at a prestigious law firm I was coming up for promotion against another junior partner Chris for several months chris had been working on a major case for the city that would make or break his career at the firm hwever he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoning doument that Chris was in desperate need of I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured, , , , , , ,1, ,16.17,52.095,54.911,23,5,6,6,5,6,6,6,6,5,6,1,1,1,1,1,1,1,1,1,1,2.151,8.065,9.55,7,4,5,5,4,6,2.415,20.546,22.543,10, ,2,22,indian,1, , , , , , , , ,22,6,7,8,8, ,217,1,1,1,1,1,6,1.833333333,5.4
R_9QC65dSraDvscfj,Default Response Set,Anonymous, , ,111.92.101.141,0,02/09/2013,02/09/2013,1,4.203,4.203,5.814,1,1,2.405,179.737,182.515,28,1,1,Two years ago I was a junior partner at a prestigious law firm I was coming up for promotion against another junior partner Chris. For several months chris had been working on a major case for the city that would make or break his career at the firm. Howeer he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoning docuent that Chris was in desperate need of I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured., , , , , , ,1, ,23.901,90.067,92.143,27,4,2,2,4,2,5,6,5,5,3,4,6,2,9,6,5,3,8,7,5,4.093,8.148,9.254,5,3,2,6,3,6,2.119,24.414,25.146,8, ,1,20,Indian, , , , ,1, , , , ,20,3,3,5,7, ,2148,5,3,8,7,5,3.6,5.266666667,4
R_0DtmG3DHbtT774F,Default Response Set,Anonymous, , ,117.192.254.60,0,02/09/2013,02/09/2013,1,4.737,4.737,5.907,1,1,14.649,56.688,464.323,2,1,1,"Two years ago, when I was a Junior Partner at a Prestigious Law Firm, I was coming up for promotion against another Junior Partner Chris  for several months.Chris had beeen working on a major case for the city that would make or break his carrer at the fim.However, He could not locate a key zoning cocument without which it was unlikely that, He would have sufficient evidence to successfully argue his case. Late in the evening I was rummaging through a corner filling cabinet. I happened to come across the onning document that, Chris was in desperate need of I pulled it from the cabinet and walked over to the Office shredder knowing that,my promotion would now be secured.", , , , , , ,1, ,19.918,47.382,129.641,11,7,7,7,5,7,7,7,5,7,4,1,20,4,2,1.5,5,8,5,2.5,20,39.726,76.958,78.297,5,5,2,3,3,4,2.265,51.145,52.91,11, ,1,56,Indian,1, , , , , , , , ,56,7,5,5,6, ,2194,5,8,5,2,20,6,7.666666667,6.6
R_0uhfS91eLis2Eu1,Default Response Set,Anonymous, , ,117.202.129.183,0,02/09/2013,02/09/2013,1,3.299,3.299,6.092,1,1,23.226,221.179,527.201,2,1,1,"Two years ago, when I was a junior partner. At a prestigious law firm I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city. That would make or break  his career. At the irm  however he could not locate a key zoningdocument, without which it was unlikely that. He would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filling cabinet. I happened to come across th zoning document that, Chris was in desperate need of, I pulled it from the cabinet and walked over to the office. Shredder knowing that my promotion would now be secured.", , , , , , ,1, ,11.621,55.164,55.998,20,5,6,5,6,5,5,6,5,6,5,3,1,3,1,1,1,4,2,3,3,34.406,50.397,51.575,5,8,8,8,8,8,5.353,36.661,39.727,8, ,1,32,India,1, , , , , , , , ,32,7,4,5,6, ,2147,1,4,2,3,3,5.4,3.066666667,5.4
R_8vlAPWWCvZjyx1j,Default Response Set,Anonymous, , ,223.235.164.15,0,02/09/2013,02/09/2013,1,88.047,88.047,89.092,1,1,112.918,370.178,372.206,18,1,1,"Two tears ago,when I was a junior partner at a prestigious law firm,I was coming up for promotion against another junior partner Chris.For several months,Chris had been working on a major case for the city that would make or break his career at the firm,hwever he could not locate a key zoning document ,without which it was unlikely that he would have suffecient evidence to successfully  argue his case. Late one evening, as I was rummaging through a corner, filing cabinet I happened to come across the zonig document that Chris was in desperate need of, I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,6.974,56.582,58.968,21,5,7,7,6,6,5,7,7,7,7,2,5,6,2,5,4,4,10,8,15,48.017,77.673,78.843,5,7,8,8,8,8,3.323,30.264,31.637,8, ,1,31,Indian,1, , , , , , , , ,31,4,7,7,6, , ,4,4,10,8,15,7,8,5.8
R_3KLmlFv3uogVnDf,Default Response Set,Anonymous, , ,59.95.120.30,0,02/09/2013,02/09/2013,1,39.092,39.092,41.26,1,1,36.211,452.556,469.059,22,1,1,"Two years ago, when I was a junior partner at a prestigious law firm I was coming up for promotion against another junior partner Chris. For several months, Chris had been working on a major case for the city that would make or break his career at the fir. However he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet I happened to come across the zonng document that Chris was in desperate need of, I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured", , , , , , ,1, ,24.413,117.237,123.77,28,7,6,7,7,6,7,6,7,6,7,1,2,1,3,2,1,2,2,2,3,93.285,117.702,125.132,5,8,8,8,8,8,3.808,57.598,65.254,13, ,2,32,indian,1, , , , , , , , ,32,7,2,2,2, ,2179,1,2,2,2,3,6.6,2.766666667,6.6
