Acta Psychologicaﾠ
Adaptive Behavior
Adolescenceﾠ
Advances in Child Development and Behaviorﾠ
Advances in Experimental Social Psychologyﾠ
Advances in the Study of Behaviorﾠ
Aggressive Behaviorﾠ
American Journal of Community Psychologyﾠ
American Journal of Orthopsychiatryﾠ
American Journal of Psychiatryﾠ
American Journal of Psychologyﾠ
American Journal of Psychotherapyﾠ
American Psychologistﾠ
Amyloid
Analyses of Social Issues and Public Policy
Animal Learning and Behaviorﾠ
Annals of Behavioral Medicineﾠ
Annals of Neurology
Annual Editions: Human Developmentﾠ
Annual Review of Psychologyﾠ
Annual Reviews
Aphasiologyﾠﾠ
Applied Ergonomicsﾠ
Applied Measurement in Educationﾠ
Applied Psychological Measurementﾠ
Applied Psychology: An International Review
Archives of General Psychiatry
Archives of Sexual Behavior
Archives of Suicide Research
Asian Journal of Social Psychology
ASN Neuro
Australian Journal of Psychology
Basic and Applied Social Psychology
Behavior Genetics
Behavior Research Methodsﾠ
Behavior Therapyﾠ
Behavioral and Brain Functions
Behavioral and Brain Sciencesﾠ
Behavioral Neuroscienceﾠ
Behavioral Sciences and the Lawﾠ
Behaviour Research and Therapyﾠ
Behaviourﾠ
Behavioural and Cognitive Psychotherapy
Behavioural Brain Research
Bilingualism: Language and Cognition
Biological Cybernetics
Biological Psychiatry
Biological Psychologyﾠ
Biosystems
BMC Neuroscience
Brain
Brain and Cognition
Brain and Language
Brain Research
Brain Research Bulletin
Brain Research Reviews
British Journal of Clinical Psychology
British Journal of Developmental Psychology
British Journal of Educational Psychologyﾠ
British Journal of Health Psychology
British Journal of Mathematical and Statistical Psychologyﾠ
British Journal of Medical Psychology
British Journal of Psychiatryﾠ
British Journal of Psychologyﾠ
British Journal of Social Psychologyﾠ
British Journal of Sports Medicine
Canadian Journal of Behavioural Science
Canadian Journal of Experimental Psychology
Canadian Journal of Psychiatry
Canadian Journal of Psychoanalysis
Canadian Journal of Psychology
Canadian Psychologyﾠ
Cerebral Cortex
Chemical Senses
Child Abuse and Neglectﾠ
Child Developmentﾠ
Child Psychology and Psychiatry Review
Childhood Educationﾠ
Clinical Psychology Reviewﾠ
Clinical Psychology: Science and Practice
Cognition & Emotion
Cognitionﾠ
Cognitive Neurodynamics
Cognitive Neuropsychologyﾠ
Cognitive Psychologyﾠ
Cognitive Scienceﾠ
Cognitive Therapy and Research
Complexity International
Consciousness and Cognition
Consulting Psychology Journal: Practice and Research
Contemporary Psychoanalysisﾠ
Contemporary Psychology
Cortex
Counseling Psychologistﾠ
Criminal Justice and Behaviorﾠ
Criminologyﾠ
Cultic Studies Review
Current Alzheimer Research
Current Directions in Psychological Science
Current Opinion in Neurobiology
Current Research in Social Psychology
Development and Pathology
Development and Psychopathologyﾠ
Developmental Neuropsychologyﾠ
Developmental Psychologyﾠ
"Dynamical Psychology: An International, Interdisciplinary Journal of Complex Mental Processes"
Early Childhood Research Quarterlyﾠ
Ecological Psychology
Education Policy Analysis Archives
Educational and Psychological Measurementﾠ
Educational Psychologistﾠ
Educational Psychology
Educational Psychology Reviewﾠ
Emotion
European Journal of Behavior Analysis
European Journal of Cognitive Psychology
European Journal of Neuroscience
European Journal of Personality
European Journal of Psychological Assessment
European Journal of Work and Organizational Psychology
European Psychologist
Evolution and Human Behaviorﾠ
Exceptional Childrenﾠ
Experimental and Clinical Psychopharmacologyﾠ
Forum der Psychoanalyseﾠ
Frontiers in Computational Neuroscience
"Genes, Brain and Behavior"
German Journal of Psychiatry
Health Psychologyﾠ
Hippocampus
History of Psychology
Human Brain Mapping
Human Resource Managementﾠ
Humanistic Psychologist
Industrial and Organizational Psychology
Infant Behavior and Developmentﾠ
Intellectica
International Bulletin of Political Psychology
International Journal for the Psychology of Religion
International Journal of Aviation Psychology
International Journal of Behavior Development
International Journal of Clinical and Experimental Hypnosisﾠ
International Journal of Developmental Neuroscience
International Journal of Human Computer Studies
International Journal of Neural Systems
International Journal of Neuropsychopharmacology
International Journal of Neuroscience
International Journal of Psychoanalysisﾠ
International Journal of Psychology
International Journal of Psychophysiologyﾠ
International Journal of Psychosocial Rehabilitation
International Journal of Stress Management
International Journal of Transgenderism
Journal of Abnormal Child Psychology
Journal of Abnormal Psychologyﾠ
Journal of Addictive Diseases
Journal of Applied Behavior Analysisﾠ
Journal of Applied Behavioral Scienceﾠ
Journal of Applied Psychologyﾠ
Journal of Applied Social Psychologyﾠ
Journal of Artificial Intelligence Research
Journal of Autism and Development Disordersﾠ
Journal of Behavioral Health Services & Research
Journal of Behavioral Medicineﾠ
Journal of Cerebral Blood Flow & Metabolism
Journal of Child Psychology and Psychiatry and Allied Disciplines
Journal of Classificationﾠ
Journal of Clinical Psychiatryﾠ
Journal of Clinical Psychologyﾠ
Journal of Cognitive Neuroscienceﾠ
Journal of Community and Applied Social Psychology
Journal of Community Psychologyﾠ
Journal of Comparative Psychologyﾠ
Journal of Computational Neuroscience
Journal of Consciousness Studies
Journal of Consulting and Clinical Psychologyﾠ
Journal of Contemporary Psych
Journal of Counseling Psychologyﾠ
Journal of Credibility Assessment and Witness Psychology
Journal of Cross-Cultural Psychologyﾠ
Journal of Educational Measurement
Journal of Educational Psychologyﾠ
Journal of Educational Researchﾠ
Journal of Experimental Child Psychologyﾠ
Journal of Experimental Educationﾠ
Journal of Experimental Psychology
Journal of Experimental Psychology: Animal Behavior Processesﾠ
Journal of Experimental Psychology: Appliedﾠ
Journal of Experimental Psychology: Generalﾠ
Journal of Experimental Psychology: Human Perception and Performanceﾠ
"Journal of Experimental Psychology: Learning, Memory, and Cognitionﾠ"
Journal of Experimental Social Psychologyﾠ
Journal of Genetic Psychologyﾠ
Journal of Health and Social Behaviorﾠ
Journal of Health Psychology
Journal of Homosexuality
Journal of Humanistic Psychologyﾠ
Journal of Integrative Neuroscience
Journal of Intelligent Systems
Journal of Mathematical Psychologyﾠ
Journal of Memetics
Journal of Memory and Languageﾠ
Journal of Mind and Behaviour
Journal of Molecular Neuroscience
Journal of Motor Behaviorﾠ
Journal of Multicultural Counseling and Dev
Journal of Nervous and Mental Disease
Journal of Neural Engineering
Journal of Neurochemistry
Journal of Neurogenetics
Journal of Neurophysiology
Journal of Neuroscience
Journal of Neuroscience Research
Journal of NeuroVirology
Journal of Occupational and Organizational Psychology
Journal of Occupational Health Psychology
Journal of Organizational Behaviorﾠ
Journal of Personality and Social Psychology
Journal of Personalityﾠ
Journal of Psychiatry and Neuroscience
Journal of Psychohistoryﾠ
Journal of Psychology and Behavioral Sciences
Journal of Psychopharmacology
Journal of Religion and Healthﾠ
Journal of Research in Personalityﾠ
Journal of School Psychologyﾠ
Journal of Sex & Marital Therapy
Journal of Sex Research
Journal of Social & Psychological Sciences
Journal of Social Issuesﾠ
Journal of Social Psychologyﾠ
Journal of Sport and Exercise Psychologyﾠ
Journal of Statistics Education
Journal of the American Academy of Child and Adolescent Psychiatryﾠ
Journal of the American Psychoanalytic Association
Journal of the Experimental Analysis of Behaviorﾠ
Journal of the History of the Behavioral Sciencesﾠ
Journal of the History of the Neurosciences
Journal of The Indian Academy of Applied Psychology
Journal of the International Neuropsychological Society
Journal of the Learning Sciencesﾠ
Journal of the Optical Society of America - A
Journal of the Optical Society of America - B
Journal of Theoretical and Philosophical Psychology
Journal of Virtual Environments
Journal of Vision
Journal of Vocational Behaviorﾠ
Journals of Gerontology. Series B: Psychological Sciences and Social Sciencesﾠ
Knowledge and Process Management
Knowledge Technology and Policy
Language and Cognitive Processes
Leadership Quarterlyﾠ
Learning and Behaviorﾠ
Learning and Individual Differencesﾠ
Learning and Instructionﾠ
Learning and Memory
Learning and Motivationﾠ
Legal and Criminological Psychology
Literature and Psychologyﾠ
"Medicine, Mind and Adolescence"
Memory
Memory and Cognitionﾠ
Metaphor and Symbol
Mind & Language
Mindﾠ
Molecular and Cellular Neuroscience
Molecular Psychiatry
Music Perception
Nature
Nature Neuroscience
Nature Reviews Neuroscience
Nebraska Symposium on Motivationﾠ
Network: Computation In Neural Systems
Neural Computation
Neural Development
Neural Networks
Neural Regeneration Research
Neurobiology of Learning and Memoryﾠ
Neurocase
Neurocomputing
Neurogenetics
NeuroImage
Neuroinformatics
Neuron
Neuro-Ophthalmology
Neuropharmacology
Neuropsychobiology
Neuropsychologia
Neuropsychological Rehabilitation
Neuropsychology Reviewﾠ
Neuropsychologyﾠ
Neuropsychopharmacology
Neuroquantology
NeuroReport
Neuroscience
Neuroscience & Biobehavioral Reviews
Neuroscience Letters
Neurosurgery
New Therapist Magazine
North American Journal of Psychology
Organizational Behavior and Human Decision Processes
Pastoral Psychologyﾠ
Perception
Perception and Psychophysicsﾠ
Perceptual and Motor Skills
Personal Relationships
Personality and Individual Differences
Personality and Social Psychology Bulletin
Personality and Social Psychology Reviewﾠ
Personnel Psychologyﾠ
Perspectives on Psychological Science
"Philosophy, Neuroscience, and Psychology Archiveﾠ"
Physiology & Behavior
Physiology and Behaviorﾠ
"Practical Assessment, Research & Evaluation"
Proceedings of the National Academy of Sciences
Professional Psychology: Research and Practiceﾠ
Progress: Family Systems Research and Therapy
Psybernetika
Psyche
Psyche: Zeitschrift fur Psychoanalyse und ihre Anwendungenﾠ
Psychiatric Clinics of North Americaﾠ
Psychiatric Genetics
Psychiatric Times
Psychoanalytic Dialoguesﾠ
Psychoanalytic Psychologyﾠ
Psychoanalytic Quarterlyﾠ
Psychoanalytic Reviewﾠ
Psychoanalytic Study of the Childﾠ
Psychologica Belgica
Psychological Assessment
Psychological Bulletinﾠ
Psychological Medicine
Psychological Recordﾠ
Psychological Reports
Psychological Review
Psychological Science
Psychological Science in the Public Interest
Psychology and Agingﾠ
Psychology in the Schoolsﾠ
Psychology of Addictive Behaviors
"Psychology of Aesthetics, Creativity, and the Arts"
Psychology of Learning and Motivationﾠ
Psychology of Music
Psychology of Women Quarterly
Psychology Online Journal
Psychology Software News
"Psychology, Public Policy, and Law"
Psychometrika
Psychonomic Bulletin and Reviewﾠ
Psychopharmacology
Psychophysiology
Psychosomatic Medicineﾠ
Psychotherapy and Psychosomaticsﾠ
"Psychotherapy: Theory, Research, Practice, "
Psycoloquy
Quality & Quantity
Quarterly Journal of Experimental Psychologyﾠ
Quarterly Journal of Psychology (Section A)
Quarterly Journal of Psychology (Section B)
Radical Pedagogy
Radical Psychology
Review of General Psychology
Review of Philosophy and Psychology
School Psychology Reviewﾠ
Science
Self and Identity
Self-Help Magazine
Sex Rolesﾠ
Sexuality and Culture
Sign Language Studies
Social and Personality Psychology Compass
Social Cognition
Social Neuroscience
Social Problemsﾠ
Social Psychology and Personality Science
Social Psychology Quarterlyﾠ
Social Science and Medicineﾠ
South Pacific Journal of Psychology
Suicide and Life-Threatening Behavior
Swiss Journal of Psychology
Synapse
Systems Research and Behavioral Scienceﾠ
Teaching of Psychologyﾠ
The Cerebellum
The Electronic Journal of Communicative Psychoanalysis
The Electronic Journal of Human Sexuality
The Harvard Brain
The Industrial-Organizational Psychologist
The International Journal for the Psychology of Religion
The Journal of Cognitive Rehabilitation
The Journal of Psychology
The Neuroscientist
The Qualitative Report
Theory and Psychology
Theory and Review in Psychology
Theory and Science
Thinking & Reasoning
Traumatology
Trends in Cognitive Sciences
Twin Research and Human Genetics
Universitas Psychologica
Vision Research
Visual Cognition
Visual Neuroscience
Western Criminology Review
Work & Stress
Worldwide Attitudes
Youth and Societyﾠ
Zeitschrift fur Padagogische Psychologie
Zeitschrift fur Psychosomatische Medizin und Psychotherapie
